;E/V;i/A
0;-0.2000427;-6.796265e-07
1;-0.1976013;-6.326294e-07
2;-0.1951599;-5.883789e-07
3;-0.1927185;-5.569458e-07
4;-0.1902771;-5.325317e-07
5;-0.1878357;-4.962158e-07
6;-0.1853943;-4.879761e-07
7;-0.1829529;-4.46167e-07
8;-0.1805115;-4.458618e-07
9;-0.1780701;-4.06189e-07
10;-0.1756287;-3.952331e-07
11;-0.1731873;-3.771973e-07
12;-0.1707458;-3.591919e-07
13;-0.1683044;-3.53302e-07
14;-0.165863;-3.272705e-07
15;-0.1634216;-3.294067e-07
16;-0.1609802;-2.998962e-07
17;-0.1585388;-2.97821e-07
18;-0.1560974;-2.799682e-07
19;-0.153656;-2.746582e-07
20;-0.1512146;-2.64679e-07
21;-0.1487732;-2.506714e-07
22;-0.1463318;-2.466126e-07
23;-0.1438904;-2.254639e-07
24;-0.141449;-2.304688e-07
25;-0.1390076;-2.048645e-07
26;-0.1365662;-2.096558e-07
27;-0.1341248;-1.921387e-07
28;-0.1316833;-1.890564e-07
29;-0.1292419;-1.812744e-07
30;-0.1268005;-1.712036e-07
31;-0.1243591;-1.732483e-07
32;-0.1219177;-1.533814e-07
33;-0.1194763;-1.585693e-07
34;-0.1170349;-1.395264e-07
35;-0.1145935;-1.434631e-07
36;-0.1121521;-1.297913e-07
37;-0.1097107;-1.255493e-07
38;-0.1072693;-1.193543e-07
39;-0.1048279;-1.062317e-07
40;-0.1023865;-1.130371e-07
41;-0.09994507;-9.457398e-08
42;-0.09750366;-1.04248e-07
43;-0.09506226;-8.401489e-08
44;-0.09262085;-8.779907e-08
45;-0.09017944;-8.026123e-08
46;-0.08773804;-7.373047e-08
47;-0.08529663;-7.229615e-08
48;-0.08285522;-5.86853e-08
49;-0.08041382;-6.747437e-08
50;-0.07797241;-4.827881e-08
51;-0.07553101;-5.523682e-08
52;-0.0730896;-4.208374e-08
53;-0.07064819;-4.293823e-08
54;-0.06820679;-3.323364e-08
55;-0.06576538;-2.896118e-08
56;-0.06332397;-2.868652e-08
57;-0.06088257;-1.211548e-08
58;-0.05844116;-5.062866e-08
59;-0.05599976;-2.813721e-08
60;-0.05355835;-3.515625e-08
61;-0.05111694;-1.797485e-08
62;-0.04867554;-2.484131e-08
63;-0.04623413;-1.269531e-08
64;-0.04379272;-6.591797e-09
65;-0.04135132;-1.177979e-08
66;-0.03890991;
67;-0.03646851;-5.218506e-09
68;-0.0340271;
69;-0.03158569;
70;-0.02914429;
71;-0.02670288;
